Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,TwoP,TwoPA,ThreeP,ThreePA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FGPercent,TwoPPercent,ThreePPercent,eFGPercent,FTPercent,TSPercent,WS,G,GS,MP,PER,ThreePAr,FTr,ORBPercent,DRBPercent,TRBPercent,ASTPercent,STLPercent,BLKPercent,TOVPercent,USGPercent,ORtg,DRtg,OWS,DWS,WS,WSperFortyEight,OBPM,DBPM,BPM,VORP
15,Rudy Gobert,2014-15,22,UTA,NBA,82,37,26.3,3.1,5.2,3.1,5.2,0,0,2.1,3.3,3.2,6.2,9.5,1.3,0.8,2.3,1.4,2.1,8.4,0.604,0.607,0,0.604,0.623,0.627,9.3,82,37,2158,21.6,0.005,0.639,14.3,27.2,20.7,8.2,1.6,7,16.9,14,122,98,5,4.3,9.3,0.206,0.7,5.1,5.8,4.3
16,Blake Griffin,2014-15,25,LAC,NBA,67,67,35.2,8.6,17.1,8.4,16.7,0.1,0.4,4.6,6.4,1.9,5.7,7.6,5.3,0.9,0.5,2.3,2.9,21.9,0.502,0.504,0.4,0.506,0.728,0.551,9,67,67,2356,22.8,0.022,0.373,6.1,17.9,12.1,26.2,1.4,1.2,10.2,28.4,113,106,6.6,2.4,9,0.183,3.1,1,4.1,3.6
17,Klay Thompson,2014-15,24,GSW,NBA,77,77,31.9,7.8,16.9,4.7,9.8,3.1,7.1,2.9,3.3,0.4,2.9,3.2,2.9,1.1,0.8,1.9,1.6,21.7,0.463,0.481,0.439,0.555,0.879,0.591,8.8,77,77,2455,20.8,0.42,0.197,1.2,9.4,5.4,14.6,1.7,1.8,9.5,27.6,112,104,5.7,3.1,8.8,0.172,3.6,-1,2.7,2.9
18,Gordon Hayward,2014-15,24,UTA,NBA,76,76,34.4,6.4,14.3,4.8,10,1.6,4.3,4.9,6.1,0.7,4.2,4.9,4.1,1.4,0.4,2.7,1.7,19.3,0.445,0.481,0.364,0.5,0.812,0.567,8.7,76,76,2618,20.2,0.304,0.425,2.4,14,8.2,21.7,2.2,0.9,13.8,26.2,111,105,5.8,2.9,8.7,0.159,3.3,0.1,3.4,3.6
19,Al Horford,2014-15,28,ATL,NBA,76,76,30.5,6.8,12.7,6.7,12.2,0.1,0.5,1.4,1.9,1.7,5.4,7.2,3.2,0.9,1.3,1.3,1.6,15.2,0.538,0.547,0.306,0.544,0.759,0.563,8.7,76,76,2318,21.4,0.037,0.146,6.7,19.8,13.4,18.6,1.5,3.5,8.9,22.2,114,102,5.1,3.6,8.7,0.179,1.3,2.5,3.8,3.4
20,Kevin Love,2014-15,26,CLE,NBA,75,75,33.8,5.5,12.7,3.6,7.5,1.9,5.2,3.4,4.3,1.9,7.9,9.7,2.2,0.7,0.5,1.6,1.9,16.4,0.434,0.48,0.367,0.509,0.804,0.562,8.7,75,75,2532,18.8,0.412,0.337,6.5,26.3,16.6,10.7,1,1.2,10,21.7,115,105,5.8,2.9,8.7,0.165,2,-0.1,1.9,2.5
21,LaMarcus Aldridge,2014-15,29,POR,NBA,71,71,35.4,9.3,19.9,8.8,18.5,0.5,1.5,4.3,5.1,2.5,7.7,10.2,1.7,0.7,1,1.7,1.8,23.4,0.466,0.475,0.352,0.479,0.845,0.528,8.6,71,71,2512,22.8,0.074,0.256,7.7,22.9,15.5,9.2,1,1.9,7.2,30.2,108,102,4.9,3.7,8.6,0.165,0.3,0,0.3,1.4
22,Marcin Gortat,2014-15,30,WAS,NBA,82,82,29.9,5.4,9.5,5.4,9.4,0,0,1.5,2.1,2.2,6.5,8.7,1.2,0.6,1.3,1.2,2.3,12.2,0.566,0.569,0,0.566,0.703,0.587,8.6,82,82,2453,18.2,0.004,0.226,8.5,24.1,16.5,6.5,1,3.6,10.5,17.6,114,100,4.4,4.2,8.6,0.168,-0.4,2.3,1.8,2.4
23,Kawhi Leonard,2014-15,23,SAS,NBA,64,64,31.8,6.2,12.8,5.1,9.8,1,3,3.2,3.9,1.3,5.9,7.2,2.5,2.3,0.8,1.5,2,16.5,0.479,0.519,0.349,0.52,0.802,0.567,8.6,64,64,2033,22,0.234,0.307,4.8,20.6,12.9,13,3.7,1.8,9.4,23,113,96,4.2,4.4,8.6,0.204,2.6,3.5,6.1,4.1
24,Draymond Green,2014-15,24,GSW,NBA,79,79,31.5,4.3,9.7,2.9,5.5,1.4,4.2,1.7,2.5,1.4,6.7,8.2,3.7,1.6,1.3,1.7,3.2,11.7,0.443,0.523,0.337,0.516,0.66,0.54,8.5,79,79,2490,16.4,0.43,0.261,5.1,22.4,14,16.1,2.4,2.9,13.5,17.2,110,97,3.3,5.2,8.5,0.163,1,4,5,4.4
